date,event,team_a,team_a_id,team_b,team_b_id,score_a,score_b,winner
June 13,Colorado Summer Solstice 2026 Part 1,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,Tugboat,mowQGlAs2bwZoIZjwGC6+Zxk/W+pDWEot9abXHHjUR4=,9,15,Tugboat
June 13,Colorado Summer Solstice 2026 Part 1,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,F-Words,xO5uPmIlvTttgXXc7yIZQXjDA7dbluN0JJuT3DD6mlE=,15,9,washed
June 14,Colorado Summer Solstice 2026 Part 1,Buoyancy,5QcCM7aDcmdxi0rJJ8Ee9ojGr731Eja9fAoROqhoZFQ=,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,11,15,washed
June 14,Colorado Summer Solstice 2026 Part 1,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,Arizona Frisbee Club,BlGvkJ63CbEtjl23BJic/yooRu5uWsP404cLqlGY3Bc=,15,6,washed
May 30,Cutthroat Club Round Robin 2026,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,Tugboat,mowQGlAs2bwZoIZjwGC6+Zxk/W+pDWEot9abXHHjUR4=,13,15,Tugboat
May 30,Cutthroat Club Round Robin 2026,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,Colorado Cutthroat U-17 Boys,UhBuAY46xkIb9L1mmRKFW7raT/EUxAHQBAQu0G8nNso=,15,6,washed
May 31,Cutthroat Club Round Robin 2026,Colorado Cutthroat U-20 Boys,2JeysWO8A2a0advsuqQEpbiOKM0De6MkYlyM1vl7n2Y=,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,13,9,Colorado Cutthroat U-20 Boys
May 31,Cutthroat Club Round Robin 2026,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,The Incline,fLktFchsbi7xRZrVdSeOeSmSHiooSNSkWo/doFCyJN0=,15,11,washed
May 31,Cutthroat Club Round Robin 2026,washed,5vyWfEaq78p/9s5j71VchOOgkeoF+0spqBu4RIyZoOQ=,Red Lotus,ct/BJRWMBGD8zpNqaSxwWzUwFM0DWw/8Cn3cPk+KSeY=,9,2,washed
